title,video_url,platform,category,view_count,posted_date
sazae-san,https://www.tiktok.com/@mrlivelee/video/7138557872933211434?is_from_webapp=1&sender_device=pc&web_id=7608254408073152030,tiktok,anime,102600,2022-09-01
attack-on-titan,https://www.instagram.com/p/ClWlwKABa7V/,instagram,anime,561,2022-11-24
doraemon,https://www.instagram.com/p/Clq-buJPBQG/,instagram,anime,428,2022-12-02
sazae-san,https://www.instagram.com/p/Cl32ZOxvMQd/,instagram,anime,449,2022-12-07
one-piece,https://www.instagram.com/p/Cl6bMuMPubg/,instagram,anime,616,2022-12-08
naruto,https://www.instagram.com/p/CmCJknWvhFt/,instagram,anime,170000,2022-12-11
dragon-ball,https://www.instagram.com/p/CmFsMH2vyk4/,instagram,anime,390,2022-12-12
hunter-x-hunter,https://www.instagram.com/p/CmIQ__-PssS/,instagram,anime,10300,2022-12-13
detective-conan,https://www.instagram.com/p/CmMcvadPxjT/,instagram,anime,1471,2022-12-15
pokemon,https://www.instagram.com/p/CmP_UvsvKPD/,instagram,anime,1926,2022-12-16
death-note,https://www.instagram.com/p/CmSkFq7vgFf/,instagram,anime,15200,2022-12-17
bleach,https://www.instagram.com/p/CmVI96sveTG/,instagram,anime,13100,2022-12-18
gundam,https://www.instagram.com/p/CmZUwXSv4_H/,instagram,anime,1371,2022-12-20
fate,https://www.instagram.com/p/CmeeTcAvRUj/,instagram,anime,831,2022-12-22
dragon-ball-z,https://www.instagram.com/p/CmfcEzsvoYf/,instagram,anime,11500,2022-12-22
kaiju-no-8,https://www.instagram.com/p/C8YaTRWPQcQ/,instagram,anime,340,2024-06-18
my-hero-academia,https://www.instagram.com/p/C8pk5ZUCyQL/,instagram,anime,1592,2024-06-25
one-piece,https://www.tiktok.com/@mrlivelee/video/7138921138436099374,tiktok,anime,7900000,2022-09-02
naruto,https://www.tiktok.com/@mrlivelee/video/7139607440936488234,tiktok,anime,21800,2022-09-04
dragon-ball,https://www.tiktok.com/@mrlivelee/video/7139943973811916074,tiktok,anime,39500,2022-09-05
hunter-x-hunter,https://www.tiktok.com/@mrlivelee/video/7139949203656035630,tiktok,anime,14200,2022-09-05
detective-conan,https://www.tiktok.com/@mrlivelee/video/7140337607703039275,tiktok,anime,31700,2022-09-06
pokemon,https://www.tiktok.com/@mrlivelee/video/7140738187877567787,tiktok,anime,7300,2022-09-07
death-note,https://www.tiktok.com/@mrlivelee/video/7141120760650763563,tiktok,anime,77300,2022-09-08
bleach,https://www.tiktok.com/@mrlivelee/video/7141434742397881643,tiktok,anime,42100,2022-09-09
gundam,https://www.tiktok.com/@mrlivelee/video/7141810911471242542,tiktok,anime,7900,2022-09-10
dragon-ball-z,https://www.tiktok.com/@mrlivelee/video/7142193699924118830,tiktok,anime,21300,2022-09-11
doraemon,https://www.tiktok.com/@mrlivelee/video/7142661199455374634,tiktok,anime,35600,2022-09-12
fate,https://www.tiktok.com/@mrlivelee/video/7142956152207265067,tiktok,anime,13200,2022-09-13
game-of-thrones,https://www.tiktok.com/@mrlivelee/video/7142959108033957166,tiktok,tv,702500,2022-09-13
fullmetal-alchemist,https://www.tiktok.com/@mrlivelee/video/7143313497839897898,tiktok,anime,18200,2022-09-14
one-punch-man,https://www.tiktok.com/@mrlivelee/video/7143700521331789102,tiktok,anime,123000,2022-09-15
one-piece,https://www.tiktok.com/@mrlivelee/video/7139221650221878571,tiktok,anime,779100,2022-09-03
my-hero-academia,https://www.tiktok.com/@mrlivelee/video/7144015811588525355,tiktok,anime,76100,2022-09-16
attack-on-titan,https://www.tiktok.com/@mrlivelee/video/7144015912339852590,tiktok,anime,69300,2022-09-16
the-office,https://www.tiktok.com/@mrlivelee/video/7144016011463871786,tiktok,tv,10700,2022-09-16
demon-slayer,https://www.tiktok.com/@mrlivelee/video/7144016125972483370,tiktok,anime,44300,2022-09-16
sword-art-online,https://www.tiktok.com/@mrlivelee/video/7144016195656781102,tiktok,anime,14100,2022-09-16
breaking-bad,https://www.tiktok.com/@mrlivelee/video/7145540359806799150,tiktok,tv,6100000,2022-09-20
the-simpsons,https://www.tiktok.com/@mrlivelee/video/7146307056167931179,tiktok,tv,1300000,2022-09-22
fairy-tail,https://www.tiktok.com/@mrlivelee/video/7146310305407192366,tiktok,anime,25300,2022-09-22
the-flash,https://www.tiktok.com/@mrlivelee/video/7147378089545207082,tiktok,tv,65200,2022-09-25
code-geass,https://www.tiktok.com/@mrlivelee/video/7147380110189022506,tiktok,anime,118100,2022-09-25
cowboy-bebop,https://www.tiktok.com/@mrlivelee/video/7147745591081176363,tiktok,anime,234700,2022-09-26
stranger-things,https://www.tiktok.com/@mrlivelee/video/7148126532869852459,tiktok,tv,26500,2022-09-27
seven-deadly-sins,https://www.tiktok.com/@mrlivelee/video/7148498066927209774,tiktok,anime,24200,2022-09-28
the-walking-dead,https://www.tiktok.com/@mrlivelee/video/7149221984193269034,tiktok,tv,1100000,2022-09-30
supernatural,https://www.tiktok.com/@mrlivelee/video/7150396175651179819,tiktok,tv,120900,2022-10-03
arrow,https://www.tiktok.com/@mrlivelee/video/7151138349665799466,tiktok,tv,52100,2022-10-05
tokyo-ghoul,https://www.tiktok.com/@mrlivelee/video/7151779556943252778,tiktok,anime,26500,2022-10-07
blue-bloods,https://www.tiktok.com/@mrlivelee/video/7152272421792451886,tiktok,tv,29300,2022-10-08
south-park,https://www.tiktok.com/@mrlivelee/video/7152892288862014763,tiktok,tv,42000,2022-10-10
modern-family,https://www.tiktok.com/@mrlivelee/video/7153708994899676462,tiktok,tv,22800,2022-10-12
jojos-bizarre-adventure,https://www.tiktok.com/@mrlivelee/video/7154425269221166382,tiktok,anime,40300,2022-10-14
shameless,https://www.tiktok.com/@mrlivelee/video/7155615832486333739,tiktok,tv,88800,2022-10-17
cobra-kai,https://www.tiktok.com/@mrlivelee/video/7155997892891856174,tiktok,tv,50800,2022-10-18
peaky-blinders,https://www.tiktok.com/@mrlivelee/video/7156428974749437226,tiktok,tv,15900,2022-10-19
black-clover,https://www.tiktok.com/@mrlivelee/video/7159221590603910442,tiktok,anime,122000,2022-10-27
family-guy,https://www.tiktok.com/@mrlivelee/video/7164915874900479278,tiktok,tv,58200,2022-11-11
